I0,success_rate,correct,total
"(2, 3)",0.0,0,21
"(5, 6)",0.0,0,29
"(5, 9)",0.0,0,30
"(6, 7)",0.0,0,24
"(0, 6)",0.0,0,19
"(4, 9)",0.0,0,24
"(8, 9)",0.0,0,26
"(3, 9)",0.0,0,24
"(7, 8)",0.0,0,16
"(6, 8)",0.0,0,27
"(3, 5)",0.0,0,24
"(3, 7)",0.0,0,24
"(3, 8)",0.0,0,29
"(3, 6)",0.0,0,18
"(0, 1)",0.0,0,19
"(0, 9)",0.0,0,15
"(7, 9)",0.0,0,27
"(0, 2)",0.0,0,25
"(1, 4)",0.0,0,31
"(1, 6)",0.0,0,20
"(0, 8)",0.0,0,22
"(4, 6)",0.0,0,22
"(2, 9)",0.0,0,24
"(6, 9)",0.0,0,15
"(4, 8)",0.0,0,19
"(2, 4)",0.0,0,18
"(1, 3)",0.0,0,18
"(4, 7)",0.0,0,32
"(0, 7)",0.0,0,20
"(5, 8)",0.0,0,25
"(4, 5)",0.0,0,20
"(1, 5)",0.0,0,22
"(2, 5)",0.0,0,18
"(2, 6)",0.0,0,24
"(1, 9)",0.0,0,29
"(1, 7)",0.0,0,25
"(1, 8)",0.0,0,18
"(3, 4)",0.0,0,27
"(2, 7)",0.0,0,15
"(1, 2)",0.0,0,16
"(2, 8)",0.0,0,27
"(0, 4)",0.0,0,20
"(0, 3)",0.0,0,18
"(5, 7)",0.0,0,20
"(0, 5)",0.0,0,14
