I0,success_rate,correct,total
"(5, 8)",0.0,0,20
"(4, 8)",0.0,0,28
"(3, 6)",0.0,0,21
"(2, 9)",0.0,0,20
"(0, 9)",0.0,0,20
"(2, 5)",0.0,0,20
"(1, 7)",0.0,0,28
"(1, 4)",0.0,0,25
"(4, 5)",0.0,0,17
"(1, 9)",0.0,0,26
"(2, 4)",0.0,0,26
"(0, 5)",0.0,0,23
"(4, 7)",0.0,0,22
"(1, 8)",0.0,0,24
"(0, 6)",0.0,0,28
"(4, 9)",0.0,0,25
"(3, 9)",0.0,0,22
"(1, 5)",0.0,0,17
"(5, 7)",0.0,0,23
"(7, 9)",0.0,0,24
"(3, 5)",0.0,0,18
"(4, 6)",0.0,0,25
"(1, 2)",0.0,0,24
"(1, 3)",0.0,0,24
"(6, 7)",0.0,0,24
"(3, 4)",0.0,0,22
"(5, 6)",0.0,0,23
"(2, 7)",0.0,0,17
"(7, 8)",0.0,0,22
"(0, 4)",0.0,0,25
"(8, 9)",0.0,0,19
"(0, 1)",0.0,0,20
"(3, 8)",0.0,0,22
"(0, 3)",0.0,0,16
"(0, 2)",0.0,0,26
"(5, 9)",0.0,0,21
"(6, 9)",0.0,0,20
"(2, 6)",0.0,0,16
"(2, 8)",0.0,0,17
"(2, 3)",0.0,0,28
"(1, 6)",0.0,0,26
"(0, 7)",0.0,0,24
"(3, 7)",0.0,0,27
"(0, 8)",0.0,0,21
"(6, 8)",0.0,0,14
