I0,success_rate,correct,total
"(1, 6)",0.0,0,26
"(3, 7)",0.0,0,23
"(0, 7)",0.0,0,23
"(0, 6)",0.0,0,27
"(3, 8)",0.0,0,18
"(2, 6)",0.0,0,18
"(6, 9)",0.0,0,23
"(5, 9)",0.0,0,36
"(0, 3)",0.0,0,25
"(4, 5)",0.0,0,22
"(8, 9)",0.0,0,27
"(7, 9)",0.0,0,29
"(2, 7)",0.0,0,16
"(2, 8)",0.0,0,24
"(4, 8)",0.0,0,26
"(1, 8)",0.0,0,25
"(0, 4)",0.0,0,21
"(6, 7)",0.0,0,20
"(0, 8)",0.0,0,27
"(5, 7)",0.0,0,17
"(3, 9)",0.0,0,26
"(1, 5)",0.0,0,20
"(0, 5)",0.0,0,23
"(2, 3)",0.0,0,24
"(1, 9)",0.0,0,20
"(2, 9)",0.0,0,17
"(5, 6)",0.0,0,21
"(1, 7)",0.0,0,23
"(3, 4)",0.0,0,20
"(0, 2)",0.0,0,21
"(3, 5)",0.0,0,14
"(0, 1)",0.0,0,25
"(1, 4)",0.0,0,17
"(2, 5)",0.0,0,25
"(0, 9)",0.0,0,24
"(6, 8)",0.0,0,22
"(1, 2)",0.0,0,17
"(2, 4)",0.0,0,24
"(1, 3)",0.0,0,19
"(5, 8)",0.0,0,18
"(3, 6)",0.0,0,15
"(4, 6)",0.0,0,20
"(4, 9)",0.0,0,26
"(4, 7)",0.0,0,24
"(7, 8)",0.0,0,22
