I0,success_rate,correct,total
"(0, 2)",0.0,0,17
"(0, 4)",0.0,0,21
"(5, 6)",0.0,0,20
"(3, 5)",0.0,0,14
"(6, 9)",0.0,0,25
"(2, 7)",0.0,0,34
"(1, 6)",0.0,0,29
"(1, 3)",0.0,0,24
"(0, 6)",0.0,0,32
"(2, 6)",0.0,0,26
"(1, 8)",0.0,0,21
"(0, 3)",0.0,0,27
"(2, 5)",0.0,0,18
"(7, 9)",0.0,0,23
"(1, 5)",0.0,0,28
"(3, 6)",0.0,0,25
"(0, 1)",0.0,0,17
"(3, 9)",0.0,0,24
"(4, 6)",0.0,0,24
"(3, 8)",0.0,0,20
"(2, 3)",0.0,0,33
"(7, 8)",0.0,0,25
"(0, 5)",0.0,0,14
"(8, 9)",0.0,0,25
"(1, 2)",0.0,0,21
"(5, 7)",0.0,0,26
"(2, 8)",0.0,0,24
"(1, 4)",0.0,0,25
"(5, 8)",0.0,0,18
"(6, 7)",0.0,0,26
"(2, 9)",0.0,0,15
"(1, 7)",0.0,0,21
"(1, 9)",0.0,0,22
"(0, 7)",0.0,0,22
"(0, 8)",0.0,0,19
"(5, 9)",0.0,0,24
"(0, 9)",0.0,0,19
"(4, 8)",0.0,0,19
"(4, 7)",0.0,0,17
"(6, 8)",0.0,0,25
"(3, 4)",0.0,0,19
"(4, 9)",0.0,0,21
"(4, 5)",0.0,0,15
"(3, 7)",0.0,0,24
"(2, 4)",0.0,0,12
