I0,success_rate,correct,total
"(3, 9)",0.0,0,20
"(1, 6)",0.0,0,23
"(1, 4)",0.0,0,24
"(1, 3)",0.0,0,24
"(3, 7)",0.0,0,33
"(3, 8)",0.0,0,24
"(6, 7)",0.0,0,29
"(2, 4)",0.0,0,26
"(4, 7)",0.0,0,16
"(1, 9)",0.0,0,26
"(3, 5)",0.0,0,18
"(0, 5)",0.0,0,19
"(2, 5)",0.0,0,18
"(5, 9)",0.0,0,19
"(2, 9)",0.0,0,27
"(0, 8)",0.0,0,15
"(1, 2)",0.0,0,21
"(2, 8)",0.0,0,22
"(0, 4)",0.0,0,24
"(1, 8)",0.0,0,14
"(0, 6)",0.0,0,30
"(8, 9)",0.0,0,17
"(7, 9)",0.0,0,22
"(4, 9)",0.0,0,28
"(4, 6)",0.0,0,26
"(4, 8)",0.0,0,19
"(0, 9)",0.0,0,25
"(5, 7)",0.0,0,20
"(0, 7)",0.0,0,21
"(0, 2)",0.0,0,22
"(6, 8)",0.0,0,25
"(5, 6)",0.0,0,28
"(0, 1)",0.0,0,23
"(5, 8)",0.0,0,17
"(4, 5)",0.0,0,21
"(1, 7)",0.0,0,21
"(7, 8)",0.0,0,19
"(6, 9)",0.0,0,24
"(2, 6)",0.0,0,21
"(1, 5)",0.0,0,17
"(3, 4)",0.0,0,17
"(3, 6)",0.0,0,29
"(0, 3)",0.0,0,21
"(2, 3)",0.0,0,23
"(2, 7)",0.0,0,22
